date	Infectious_Vectors	Adult_Vectors	New_Infections	Population	Prevalence	New_Diagnostic_Prevalence	Daily_EIR	New_Clinical_Cases_annual_avg_per_1000	Human_Infectious_Reservoir	Daily_Bites_Per_Human	Relative_Humidity	Rainfall	Air_Temperature
20070131	0.0	1891.0	0.0	1506.0	0.115537852049	0.114209830761	0.0	0.0	0.0502675138414	0.1978751719	0.719167888165	0.0	24.2075824738
20070201	0.0	1810.0	0.0	1504.0	0.115691490471	0.114361703396	0.0	0.0	0.0552063547075	0.160239353776	0.580600678921	2.07156913941e-32	24.9561061859
20070202	0.0	1805.0	0.0	1504.0	0.115691490471	0.114361703396	0.0	0.0	0.0380695685744	0.189494684339	0.597615122795	0.0	25.6694641113
20070203	0.0	2129.0	0.0	1505.0	0.115614615381	0.114285714924	0.0	0.0	0.0460064336658	0.150166109204	0.619189500809	0.0	25.3406448364
20070204	0.0	2055.0	0.0	1501.0	0.114590272307	0.114590272307	0.0	0.0	0.0418503507972	0.202531635761	0.507515370846	0.0	25.0284500122
20070205	0.0	1986.0	0.0	1497.0	0.114896461368	0.114896461368	0.0	0.0	0.0467856675386	0.183700740337	0.878990054131	0.0	24.7862453461
20070206	0.0	1977.0	0.0	1502.0	0.114513978362	0.114513978362	0.0	0.0	0.0796097293496	0.177762985229	0.63756275177	0.0	25.3891353607
20070207	0.0	1943.0	0.0	1502.0	0.113848201931	0.113848201931	0.0	0.0	0.0451055243611	0.161118507385	0.676516354084	0.0	25.7005119324
20070208	0.0	2280.0	0.0	1502.0	0.114513978362	0.114513978362	0.0	0.0	0.0920703411102	0.189081221819	0.850323915482	0.0	25.3448009491
20070209	0.0	2086.0	0.0	1498.0	0.11415220052	0.11415220052	0.0	0.0	0.0628028959036	0.216288387775	0.847739100456	2.07156913941e-32	25.0228404999
20070210	0.0	1894.0	0.0	1499.0	0.114076048136	0.114076048136	0.0	0.0	0.0998631641269	0.192795187235	0.738909244537	0.0	25.3291072845
20070211	0.0	2858.0	0.0	1503.0	0.115103125572	0.115103125572	0.0	0.0	0.0915754139423	0.167664676905	0.870168983936	0.0	24.1800880432
20070212	0.0	2800.0	0.0	1503.0	0.115103125572	0.115103125572	0.0	0.0	0.10032247752	0.256819695234	0.589142978191	0.0	25.5016365051
20070213	0.0	2772.0	0.0	1503.0	0.114437788725	0.114437788725	0.0	0.0	0.102969162166	0.254158347845	0.838755190372	0.0	25.4051418304
20070214	0.0	2717.0	0.0	1503.0	0.114437788725	0.104457750916	0.0	0.0	0.0961619839072	0.238855615258	0.812844932079	0.0	25.874835968
20070215	0.0	3121.0	0.0	1503.0	0.114437788725	0.104457750916	0.0	0.0	0.103619500995	0.249501004815	0.819873988628	0.0	25.1507892609
20070216	0.0	2995.0	0.0	1503.0	0.114437788725	0.083167001605	0.0	0.0	0.0960203632712	0.284763813019	0.79622900486	0.0	25.1320114136
20070217	0.000346500339219	2886.0	0.0	1503.0	0.114437788725	0.0844976678491	0.0	0.0	0.100990220904	0.24817033112	0.811017990112	0.0	25.7759189606
20070218	0.000710984691978	2813.0	0.0	1501.0	0.114590272307	0.0592938028276	0.000666222535074	0.0	0.0943494215608	0.256495654583	0.810018181801	0.0	25.300994873
20070219	0.000711490574758	2811.0	1.0	1503.0	0.114437788725	0.0771789774299	0.0	0.0	0.0941638424993	0.263473063707	0.582660198212	0.0	23.647977829
20070220	0.00108616938815	2762.0	0.0	1503.0	0.115103125572	0.0632069185376	0.0	0.0	0.086954601109	0.280106455088	0.82591676712	0.0	23.8582134247
20070221	0.00147383939475	2714.0	0.0	1506.0	0.115537852049	0.0836653411388	0.000664010643959	0.0	0.0852470472455	0.251660048962	0.886466681957	0.0	23.4139842987
20070222	0.00037243947736	2685.0	0.0	1506.0	0.115537852049	0.0763612240553	0.000664010643959	0.0	0.0777918621898	0.252324044704	0.827896416187	0.0	24.710849762
20070223	0.00229357788339	2180.0	0.0	1507.0	0.115461178124	0.089581951499	0.0	0.0	0.0706721767783	0.232913076878	0.824780583382	0.0	24.8924427032
20070224	0.0027088036295	2215.0	0.0	1505.0	0.114950165153	0.0797342211008	0.000664451799821	0.0	0.0603519082069	0.209966778755	0.859907567501	0.0	25.3335475922
20070225	0.00310696847737	2253.0	1.0	1503.0	0.114437788725	0.0924817025661	0.00066533597419	0.0	0.0523462109268	0.220226213336	0.676342725754	0.0	25.6809082031
20070226	0.00352578237653	2269.0	1.0	1505.0	0.115614615381	0.0757475048304	0.00132890359964	0.0	0.0437367483974	0.202657803893	0.789857923985	0.0	26.5694618225
20070227	0.00267022708431	2247.0	2.0	1502.0	0.116511315107	0.101198405027	0.00133155786898	0.0	0.037780739367	0.207723036408	0.808329582214	0.0	26.6502075195
20070228	0.00234348839149	2987.0	0.0	1502.0	0.117842875421	0.0818908140063	0.00133155786898	0.0	0.0301785171032	0.181757643819	0.771247267723	0.0	27.5664539337
20070301	0.00237127370201	2952.0	0.0	1503.0	0.117764472961	0.102461740375	0.0	0.0	0.0270671062171	0.245508983731	0.783962607384	0.0	26.2613773346
20070302	0.00204568705522	2933.0	0.0	1504.0	0.117686167359	0.0857712775469	0.000664893595967	0.0	0.0206354446709	0.272606372833	0.768406867981	0.0	26.5707683563
20070303	0.00300701637752	2993.0	0.0	1506.0	0.117529883981	0.107569724321	0.000664010643959	0.0	0.0200261119753	0.265604257584	0.825748503208	0.0	26.3791561127
20070304	0.00272108847275	2940.0	0.0	1505.0	0.117607973516	0.0890365466475	0.00199335557409	0.0	0.0149297565222	0.269767433405	0.786249697208	0.0	26.4463195801
